iter	Passed	Remaining
401	17613	70014
402	17662	69992
403	17726	70028
404	17785	70045
405	17887	70228
406	17949	70255
407	18010	70277
408	18051	70221
409	18092	70162
410	18174	70264
411	18238	70297
412	18298	70315
413	18361	70342
414	18425	70373
415	18520	70519
416	18581	70539
417	18648	70579
418	18711	70602
419	18752	70544
420	18826	70611
421	18881	70603
422	18935	70595
423	18976	70533
424	19018	70480
425	19102	70581
426	19151	70551
427	19209	70555
428	19262	70539
429	19299	70466
430	19385	70568
431	19442	70567
432	19507	70595
433	19565	70598
434	19629	70622
435	19738	70804
436	19799	70816
437	19858	70817
438	19922	70842
439	19985	70859
440	20089	71018
441	20151	71030
442	20216	71054
443	20283	71083
444	20348	71105
445	20457	71278
446	20515	71277
447	20581	71299
448	20646	71319
449	20723	71382
450	20797	71430
451	20830	71341
452	20866	71257
453	20902	71178
454	20936	71090
455	20997	71095
456	21030	71008
457	21065	70923
458	21099	70838
459	21135	70756
460	21193	70751
461	21226	70663
462	21261	70580
463	21297	70503
464	21333	70424
465	21390	70413
466	21423	70325
467	21457	70241
468	21492	70160
469	21528	70083
470	21587	70079
471	21632	70030
472	21667	69948
473	21710	69894
474	21753	69840
475	21815	69845
476	21849	69763
477	21884	69681
478	21923	69613
479	21958	69536
480	22019	69538
481	22055	69461
482	22090	69381
483	22124	69299
484	22159	69219
485	22218	69216
486	22252	69133
487	22287	69053
488	22323	68979
489	22358	68899
490	22416	68893
491	22449	68807
492	22483	68728
493	22520	68656
494	22556	68581
495	22615	68577
496	22650	68499
497	22686	68423
498	22724	68355
499	22768	68304
500	22830	68308
501	22863	68225
502	22899	68151
503	22934	68075
504	22971	68004
505	23029	67995
506	23063	67916
507	23097	67836
508	23131	67758
509	23167	67684
510	23225	67676
511	23258	67594
512	23294	67523
513	23330	67449
514	23365	67374
515	23423	67364
516	23455	67282
517	23492	67212
518	23528	67139
519	23563	67064
520	23622	67058
521	23656	66981
522	23693	66912
523	23731	66847
524	23773	66790
525	23842	66814
526	23876	66735
527	23910	66659
528	23945	66584
529	23978	66507
530	24038	66501
531	24073	66429
532	24109	66356
533	24150	66300
534	24187	66233
535	24245	66224
536	24281	66151
537	24316	66078
538	24351	66006
539	24385	65931
540	24444	65923
541	24477	65845
542	24512	65772
543	24546	65699
544	24586	65638
545	24644	65627
546	24677	65550
547	24714	65483
548	24749	65412
549	24793	65365
550	24859	65375
551	24893	65301
552	24930	65234
553	24966	65166
554	25003	65098
555	25061	65087
556	25096	65017
557	25130	64943
558	25166	64875
559	25202	64805
560	25260	64795
561	25296	64725
562	25332	64659
563	25372	64599
564	25408	64532
565	25471	64532
566	25506	64464
567	25545	64402
568	25584	64343
569	25621	64277
570	25681	64270
571	25716	64201
572	25752	64132
573	25806	64112
574	25846	64055
575	25911	64058
576	25944	63985
577	25978	63913
578	26017	63852
579	26055	63791
580	26115	63783
581	26149	63712
582	26185	63643
583	26222	63579
584	26258	63513
585	26315	63499
586	26349	63427
