iter	PrecisionAt:top=5	RecallAt:top=5	MAP:top=5
295	0.18325	0.5917766289	0.2182383681
300	0.183125	0.5917198107	0.2182203125
305	0.183375	0.5921960012	0.2184081597
310	0.184125	0.5925000912	0.2189114583
315	0.184	0.5923587221	0.2187555556
320	0.184125	0.5923847638	0.2194373264
325	0.184625	0.5927865495	0.2197998264
330	0.184625	0.5926702301	0.2197548611
335	0.184875	0.5929202301	0.2198588542
340	0.185	0.5930764801	0.2199411458
345	0.184875	0.5932498702	0.2199953125
350	0.184375	0.5928212988	0.2193098958
355	0.18475	0.5929199281	0.2203050347
360	0.18475	0.5934720114	0.2198758681
365	0.185125	0.593745821	0.2205545139
370	0.185	0.5937041543	0.220403125
375	0.184375	0.5932972099	0.2203114583
380	0.184375	0.5930888765	0.220228125
385	0.184625	0.5931318101	0.220590625
390	0.184625	0.592778162	0.2204680556
395	0.1845	0.592621912	0.2206989583
400	0.185	0.5930835935	0.2210734375
405	0.1845	0.5929723835	0.221178125
410	0.184375	0.5930002852	0.2208984375
415	0.184375	0.5928812376	0.2211041667
420	0.184125	0.5927225075	0.2210430556
425	0.184375	0.5928657366	0.2212878472
430	0.18475	0.5931368405	0.2214284722
435	0.18475	0.5931021183	0.2213461806
440	0.184375	0.5925765501	0.2217739583
445	0.18475	0.5927325025	0.2219871528
450	0.1845	0.5926164311	0.2219059028
455	0.18475	0.5933252873	0.2219927083
460	0.18525	0.5935961206	0.2228170139
465	0.185125	0.5933528666	0.2228145833
470	0.18475	0.5930492952	0.2224909722
475	0.184875	0.5931385809	0.222725
480	0.184875	0.5926237	0.222646875
485	0.18525	0.5930823039	0.2227572917
490	0.185125	0.5929721848	0.2227390625
495	0.18475	0.5924459673	0.2225421875
500	0.1845	0.5923323309	0.2225154514
505	0.184875	0.5926391491	0.2229857639
510	0.185125	0.5928177205	0.2232555556
515	0.185375	0.5928995387	0.2234409722
520	0.1855	0.5929697015	0.2234140625
525	0.1855	0.5929339873	0.2234380208
530	0.185375	0.5928804158	0.2234020833
535	0.18525	0.5934488682	0.2232479167
540	0.185125	0.5933595825	0.2232604167
545	0.185125	0.5933595825	0.22350625
550	0.18525	0.5935158325	0.2241333333
555	0.185125	0.5934116658	0.2242145833
560	0.18525	0.5940366658	0.2243541667
565	0.185125	0.5940158325	0.2244854167
570	0.18525	0.5941720825	0.224675
575	0.185625	0.5943741658	0.2251666667
580	0.1855	0.5943533325	0.2251034722
585	0.185375	0.5942283325	0.2254243056
590	0.185375	0.5942022908	0.2253274306
595	0.185125	0.5940961132	0.2251319444
600	0.18525	0.5941853989	0.2252045139
605	0.18525	0.5943327204	0.2252243056
610	0.18525	0.5943327204	0.2252461806
615	0.18525	0.5943327204	0.2253295139
620	0.185375	0.594436887	0.2257359375
625	0.185625	0.5948126311	0.225775
630	0.185625	0.5948126311	0.2261791667
635	0.185625	0.5947345061	0.2263979167
640	0.185625	0.5947345061	0.2264161458
645	0.185625	0.5949577204	0.2262928819
650	0.185875	0.5952553394	0.2265053819
655	0.186125	0.5955417977	0.2266793403
660	0.18625	0.5957084644	0.2268168403
665	0.186125	0.5956303394	0.2268557292
670	0.186125	0.5956303394	0.2264703125
675	0.186125	0.5956303394	0.2266078125
680	0.186125	0.5956303394	0.2267206597
685	0.18625	0.5958386727	0.2266378472
690	0.186375	0.5959081172	0.2267024306
695	0.186875	0.5961997839	0.2273397569
700	0.18675	0.5961539505	0.2275052083
705	0.18675	0.5961095061	0.2276682292
710	0.18675	0.5961095061	0.2281085069
715	0.18675	0.5959792977	0.2283220486
720	0.186875	0.5960574227	0.2283246528
725	0.187	0.5960871846	0.2283859375
730	0.187	0.5960871846	0.2284640625
735	0.187	0.5960871846	0.2285270833
740	0.187125	0.5967590596	0.22860625
745	0.1875	0.5971717199	0.2285177083
750	0.187625	0.5971855592	0.228703125
755	0.1875	0.5970293092	0.2292329861
760	0.1875	0.5971118241	0.2289746528
765	0.187375	0.5971397259	0.2291013889
770	0.1875	0.5971657675	0.2289638889
775	0.18725	0.5973074342	0.2289631944
780	0.187375	0.5973282675	0.2291756944
785	0.187625	0.5974017969	0.2296090278
790	0.18775	0.5975622136	0.2298194444
795	0.187875	0.5976012761	0.2296131944
800	0.187875	0.5975830469	0.2297824653
805	0.187875	0.5974658594	0.2296835069
810	0.188125	0.5977783594	0.2297022569
815	0.188	0.5976221094	0.2297876736
820	0.188	0.5976221094	0.2299904514
825	0.188	0.5976221094	0.2297230903
830	0.188	0.5976221094	0.2302543403
835	0.188125	0.5977783594	0.2299534722
840	0.188	0.5976221094	0.2299576389
845	0.188125	0.5976394705	0.2301701389
850	0.188125	0.5976394705	0.2300104167
855	0.188125	0.5976394705	0.2303847222
860	0.18825	0.5977957205	0.2303378472
865	0.18825	0.5977957205	0.2302388889
870	0.188125	0.5977707205	0.2301388889
875	0.188125	0.5977707205	0.2300626736
880	0.188125	0.5977707205	0.2301737847
885	0.188125	0.5977707205	0.2302539931
890	0.188125	0.5977707205	0.2304102431
895	0.188	0.5977498872	0.2303862847
900	0.188125	0.5978540539	0.2301064236
905	0.188125	0.5979165539	0.2300493056
910	0.18825	0.5979415539	0.2300303819
915	0.18825	0.5979415539	0.2302829861
920	0.18825	0.5982290539	0.2302996528
925	0.18825	0.5982290539	0.2304368056
930	0.188125	0.5979165539	0.2307163194
935	0.188125	0.5980728039	0.2304918403
940	0.188	0.5977603039	0.2302710069
945	0.18825	0.5982290539	0.2304876736
950	0.18825	0.5980896958	0.2306032986
955	0.1885	0.5984745896	0.2307387153
960	0.1885	0.5984225063	0.2309519097
965	0.1885	0.5984225063	0.2309123264
970	0.1885	0.5985787563	0.2309789931
975	0.1885	0.5984225063	0.2311060764
980	0.188625	0.5987350063	0.2311685764
985	0.1885	0.5984225063	0.2310727431
990	0.1885	0.5984225063	0.2311248264
995	0.188625	0.5987350063	0.2312081597
1000	0.188625	0.5987350063	0.2311977431
1005	0.188625	0.5988738951	0.2313217014
1010	0.188625	0.5988738951	0.2313737847
1015	0.188625	0.5988738951	0.2314102431
1020	0.188625	0.5988738951	0.2313081597
1025	0.18875	0.5988912563	0.2312706597
1030	0.18875	0.5988912563	0.2313644097
1035	0.188875	0.5989358991	0.2313498264
1040	0.189	0.598980542	0.2316185764
1045	0.189125	0.5993654358	0.2317977431
1050	0.189	0.5990529358	0.2316779514
1055	0.18875	0.599102539	0.2315362847
1060	0.189	0.5992399016	0.2317331597
1065	0.18925	0.5995211516	0.2317404514
1070	0.189	0.5993068659	0.2316170139
1075	0.189125	0.5996401992	0.2318326389
1080	0.189375	0.5999735326	0.2319170139
1085	0.189625	0.6003250951	0.2319947917
1090	0.1895	0.6002000951	0.2319114583
1095	0.189625	0.6002625951	0.2319322917
1100	0.189625	0.6002625951	0.2319677083
1105	0.18975	0.6002875951	0.232053125
1110	0.18975	0.6002875951	0.2321354167
1115	0.189875	0.6004125951	0.23223125
1120	0.189875	0.6003292617	0.2323354167
1125	0.18975	0.6003084284	0.23233125
1130	0.189875	0.6003292617	0.2323385417
1135	0.189875	0.6003292617	0.2321572917
1140	0.189875	0.6003292617	0.2324333333
1145	0.189875	0.6003292617	0.23238125
1150	0.189875	0.6003292617	0.2322458333
1155	0.189875	0.6003211536	0.23238125
1160	0.189875	0.6003211536	0.2323708333
1165	0.19	0.6003461536	0.2325354167
1170	0.19	0.6003461536	0.23255625
1175	0.190125	0.6004503203	0.2324541667
1180	0.190125	0.6004503203	0.2324333333
1185	0.19	0.6004334284	0.232
1190	0.190375	0.6007310474	0.2324583333
1195	0.190625	0.6009341724	0.2325541667
