iter	Passed	Remaining
405	7297	28649
406	7331	28695
407	7369	28754
408	7416	28849
409	7457	28922
410	7555	29212
411	7594	29272
412	7635	29338
413	7675	29403
414	7715	29468
415	7800	29702
416	7837	29753
417	7878	29818
418	7920	29887
419	7959	29941
420	8046	30177
421	8082	30223
422	8126	30297
423	8165	30350
424	8205	30407
425	8290	30631
426	8328	30682
427	8374	30758
428	8419	30832
429	8463	30903
430	8548	31120
431	8590	31181
432	8636	31256
433	8662	31257
434	8677	31220
435	8713	31256
436	8727	31215
437	8742	31178
438	8757	31141
439	8772	31101
440	8809	31141
441	8824	31104
442	8839	31066
443	8853	31027
444	8868	30989
445	8906	31032
446	8921	30996
447	8933	30946
448	8942	30890
449	8951	30834
450	8983	30853
451	8992	30797
452	9002	30742
453	9011	30687
454	9021	30632
455	9052	30652
456	9066	30612
457	9086	30591
458	9108	30579
459	9121	30536
460	9155	30564
461	9164	30509
462	9174	30455
463	9183	30401
464	9193	30347
465	9226	30373
466	9236	30319
467	9246	30267
468	9255	30212
469	9264	30160
470	9298	30184
471	9307	30130
472	9316	30077
473	9325	30022
474	9334	29969
475	9366	29989
476	9376	29937
477	9385	29884
478	9394	29831
479	9403	29778
480	9436	29801
481	9445	29748
482	9455	29696
483	9464	29644
484	9473	29593
485	9507	29617
486	9517	29567
487	9526	29517
488	9536	29466
489	9545	29416
490	9579	29439
491	9588	29389
492	9598	29339
493	9607	29289
494	9617	29241
495	9649	29258
496	9658	29208
497	9667	29157
498	9676	29107
499	9685	29056
500	9716	29071
501	9725	29021
502	9734	28971
503	9743	28921
504	9752	28872
505	9784	28889
506	9793	28839
507	9802	28789
508	9811	28741
509	9821	28693
510	9853	28712
511	9863	28664
512	9872	28617
513	9884	28575
514	9893	28528
515	9930	28559
516	9939	28511
517	9949	28464
518	9958	28416
519	9968	28371
520	9999	28386
521	10008	28339
522	10017	28291
523	10026	28243
524	10035	28196
525	10066	28210
526	10076	28163
527	10094	28143
528	10127	28161
529	10136	28115
530	10169	28133
531	10178	28086
532	10187	28039
533	10196	27992
534	10205	27945
535	10238	27963
